Bus, Pg, Qg, Type, CEQ id
31,  523.308262,  283.223388,ST,9D92B671-C3CD-43AF-87D9-3F2DD721CFC6
32,  650.000000,  298.789857,ST,545E6435-603C-495F-889D-1EFF053CEA07
33,  632.000000,  205.536560,ST,D7CD2D21-075B-48A6-9A17-786681F00841
34,  508.000000,  160.531640,ST,29376CE7-B3C4-45AA-AAA5-9EF4D97E5C27
35,  650.000000,  173.708458,ST,B2B315B3-8D9A-44B1-BC3E-4AF653A3D63E
36,  560.000000,   43.917726,ST,923EB9BC-C647-4097-AF04-2CD1B02EBD6E
37,  540.000000,   20.790351,ST,EE10F878-5399-4F71-9C07-1D34B5408E8F
38,  830.000000,   41.669082,ST,B8739BD7-1875-4790-951B-C4D31227364A
39, 1000.000000,   69.247192,ST,FE33FE4E-6941-4D8A-8D12-074B0BED9138
30,  250.000000,   64.927602,PV,1302CBF0-B6D1-4AD7-8456-BCD6FD34FC2F
