Bus, Pg, Qg, Type, CEQ id
119,    0.000000,   18.727076,ST,0E9038BC-5B4F-4C8F-9795-0C1FC72DCB26
120,    0.000000,   -4.533555,ST,528CF7FE-578F-461A-80D4-CFED9E218EED
121,    0.000000,    7.904700,ST,80FBE81B-488A-4D84-A875-9483476135CE
122,    0.000000,   -8.098734,ST,4E1DDD04-5A92-43BC-BBAA-8989DBAB23FE
123,  210.800000,  -81.791750,ST,0BD59E90-C996-4231-A81D-61C1F19E5F5E
124,   20.000000,    2.682898,ST,A45C7B95-B2F7-479C-8555-4FE283AF6A82
125,    0.000000,    1.971178,ST,C0B25540-B246-47CF-BBF1-EEBBEBAB84B3
127,    0.000000,    1.551751,ST,F0294F90-8F76-475F-A153-99A496EB1104
129,    0.000000,    3.706402,ST,98575173-38C4-4D81-8CE5-9879CCEF798E
131,   63.836592,  -23.719848,ST,28F84FCF-7B8A-4FDC-8B99-130FF1A87459
133,  182.800000,  -44.526301,ST,A0A0EB04-206C-4116-9F60-A242B72A1A64
134,  130.000000,    9.267508,ST,8322A72F-C9BC-4D17-9B71-CCD31CC40C63
135,    0.000000,    5.573838,ST,10F443FC-3AA3-4E4C-AF2B-B4468CEB5F02
137,    7.000000,    0.463040,ST,21664FE9-4F84-426D-902B-90E49BD32EEB
139,    0.000000,    0.980347,ST,DC268E02-78BF-4B3C-8FF9-3BCD64EB79C0
141,    0.000000,  -10.827399,ST,507850DB-50C8-4CA0-B4FF-88FB3A068A4F
142,    0.000000,   -5.303060,ST,51D0DCE1-77A3-47FE-9C70-3A2F8218AE9A
143,    0.000000,   16.098933,ST,F6BDBAB5-02F5-45AA-A5ED-2B7BAC736D9A
144,    0.000000,    6.718425,ST,D7C4AAA7-F306-4042-B087-5C5DFFAA19D7
145,    9.300000,   -0.908654,ST,09476EF9-B8FF-488C-B290-64FC72D51B45
146,  106.500000,   -6.869307,ST,A639109F-EFB6-4D0A-B91C-17BC3F77A80C
147,   34.000000,    5.690845,ST,C1320B82-E71E-4FD6-81C6-E07DBA1A3C66
148,   35.000000,    5.727338,ST,E2AD00B3-7F2B-4E49-919F-22ED7C96C481
150,    0.000000,   15.560200,ST,9F87A332-8145-4C32-80F3-ABA97BB99E09
152,    0.000000,    2.578898,ST,A97623CB-71BF-4FAC-8CC0-2BD78847A747
